,Unnamed: 0,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Year,Month,Day
1565007,4272202,2024-01-01,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"I did not consent to, or authorize nor benefit from any of the following inquiries. Please Block and remove it &",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MD,20715,,Consent provided,Web,2024-01-01,Closed with non-monetary relief,Yes,,8089017,2024,1,1
225122,749196,2024-01-06,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"I made a check deposit on the bank applied the deposit, then took it back that the fund was not available. I went to the bank I wrote the check from and that bank says Wells Fargo had not presented the request for funds via the check. I took the funds out in cash and deposited them in the wells fargo account as it is the primary payer of my mortgage loan which I have had for years with wells fargo, so I called and ask them to cancel the check, they says the check is on hold and they will run it again on the days after my mortgage auto debits. I told them I brought the funds in cash so the check needs to be cancel as they already have the funds in cash. they refused and told me that i will responsible bounce check fee from the other bank, we request a stop on the check at the but now we are being charge fees from both bank for the holding the check for days",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,XXXXX,,Consent provided,Web,2024-01-06,Closed with explanation,Yes,,8117043,2024,1,6
597,24485,2024-02-01,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with additional products or services purchased with the loan,My vehicle was finance with Wells Fargo. A year and into my auto loan Wells Fargo called me and stated because of my timely payments They would like to offer me a {5 dollar personal loan. I did except the Loan not knowing that they would put a Loan on top of a Loan. After 5 years of paying my auto Loan I was told I had another 2 years into paying my Auto Loan off which the {5 added on to my original Loan. Wells Fargo Repossessed my vehicle and told me I owed them {12,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NJ,07960,,Consent provided,Web,2024-02-01,Closed with explanation,Yes,,8263745,2024,2,1
2614,77698,2024-01-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"Spoke to both and Bank of America on Indicated that this was not a valid hard inquiry because I did not request the account. I have since frozen all credit accounts, but since there is a hard inquiry that I did not authorize, the freeze will not apply to Bank of America as an "" existing relationship ''. I requested that the inquiry be marked as attempted fraud, removed from my credit report and that all relationship between Bank of America be deleted so that it could not re-access my report without permission. The rep indicated that this would be complete within 5 business days. This has still not been completed, which puts me at continued risk of fraud, even with the frozen account also indicated that they would document the issue and await further instruction from Bank of America, but neither has done their job and the issue appears to be left on my report.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,069XX,,Consent provided,Web,2024-01-30,Closed with non-monetary relief,Yes,,8243964,2024,1,30
1769,60853,2024-01-22,Mortgage,Conventional home mortgage,Trouble during payment process,"Escrow, taxes, or insurance","Real estate taxes are past due, company is not responding and not paying taxes",Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",DE,19973,,Consent provided,Web,2024-01-22,Closed with explanation,Yes,,8198851,2024,1,22
28923,193786,2024-01-08,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"I have tried for the past 2 weeks to unfreeze my credit report and have not been successful. I am submitting this complaint through the cfpb for help in resolving this problem with the credit reporting agency TRANSUNION. They say I need to prove my identity because they cant verify it. To rectify this identity theft issue I have attached all my identification documents that identify myself, along with a request to unfreeze my credit report.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,90047,,Consent provided,Web,2024-01-08,Closed with explanation,Yes,,8121709,2024,1,8
73379,325635,2024-01-01,Credit reporting or other personal consumer reports,Other personal consumer report,Incorrect information on your report,Information belongs to someone else,"I've live in for over 20 years, I never seen, visited, or moved to This address has been reporting on my credit reports for over years ruin my with separate companies essentials phone ) service. I sent letters, called the company, and contacted Trans Union about this, In connection with the data breach which I am involved in currently, Please remove these specific errors from my file and time line data breach associated with errors. All of my address is in state, why would it make sense to have a second address at the same time I live & work in another state, I information was stolen, I keep asking the for the same thing year after year. Remove all negatives during the 3 year data breach.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MN,551XX,,Consent provided,Web,2024-01-01,Closed with non-monetary relief,Yes,,8088836,2024,1,1
1092,42223,2024-01-03,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"- vehicle total loss which constitutes a material change in the consumer finance contract. - lump sum insurance payment to lender left deficiency on loan. - NC contract law requires notification of deficiency following such material change - NO notification of deficiency was provided by lender, therefore the deficiency was unknown to borrower ( me ) - as soon as deficiency was made known to borrower ( 60 days after the fact via adverse reporting to credit bureau ) payment was immediately rendered to lender",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,28027,,Consent provided,Web,2024-01-03,Closed with explanation,Yes,,8100407,2024,1,3
71,4983,2024-01-27,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,I have tried to receive a refund regarding a purchase for {20 on that was not delivered by I tried multiple times by chat and by phone to be refunded by and was told the order was not eligible for a refund. I then started a dispute with Citibank responded by sending Citi a copy of my receipt and no proof they delivered what was ordered. Citi now says Im responsible for the charge and to contact for a refund. I have photo and video proof that what I ordered was not delivered by driver. I also have copies of correspondence with Citi. Thank you,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,62704,,Consent provided,Web,2024-01-27,Closed with monetary relief,Yes,,8236086,2024,1,27
1535,54962,2024-01-03,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,"I did not consent, benefit or authorize from any of the following : BANK OF AMERICA {46 {890 {26 {13 {53",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,760XX,,Consent provided,Web,2024-01-03,Closed with explanation,Yes,,8092249,2024,1,3
1232,45085,2024-01-20,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Bank of America Attn : Billing Inquiries TX Re : Notice of disputed charge to account Dear B of A Billing Inquiries Division : I am writing to dispute a charge of {18 to my credit card account on The charge is in error because the company that I hired to do work for me is in breach of contract / services not rendered. I have been working with the company for the entire year, giving them chance after chance to provide what they told me they would provide in their contract. However, although they attempted to over the months, they were never able to deliver. I asked for my money back last within days of filing a dispute claim with you. They told me that they would send my request to their billing department, but then they didn't follow through. I contacted Bank of America many months ago regarding this issue, to find out how long I have to file a claim against the company. Your customer service representative told me that I have at least to file a claim, and up to This should be documented, as I know you record all phone calls. I recently received letters from you, both dated letter stated that you were working on my claim, and that I should send you information to support my claim within the next days, The second letter stated that you completed your research and that my claim was denied. But you didn't give me a chance to send you my information to support my claim.I believe that you should allow me to dispute this charge for the following reasons : 1. After the company didn't perform, and after giving them plenty of time to do so, I asked them for my money back. Then, when they didn't do follow through, I filed a dispute with Bank of America within days of me asking for my money back. 2. A Bank of America Representative told me that I had years to file a dispute, and up to years. You have record of this phone conversation, since I know you record all phone calls. Please work with me on this to get a fair resolution. Sincerely",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92115,,Consent provided,Web,2024-01-20,Closed with explanation,Yes,,8187182,2024,1,20
209127,671334,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,To Whom It May Concern : I am writing to update/correct my personal information on file with your company. Please update my address to Please update my name to My only social security number is My only and correct date of birth is I do not wish to have any telephone numbers on my report. Below are the negative account/accounts impacting my credit,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60644,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8105758,2024,1,4
4219,101591,2024-01-16,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,"I am writing to express my extreme dissatisfaction with Wells Fargo 's handling of my paid collection/charge off account. Despite multiple attempts through credit bureaus and collection agencies, validation remains unaddressed, violating the Fair Credit Reporting Act ( FCRA ) This lack of response and failure to conduct reasonable procedures on these accounts is unacceptable. Immediate action is expected to rectify these violations and ensure accurate reporting on my credit profile. Address this matter urgently to avoid further action.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,75115,,Consent provided,Web,2024-01-16,Closed with explanation,Yes,,8163101,2024,1,16
646056,1716073,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681.15 U.S.C 1681 section 602 A. States I have the right to privacy.15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,79905,,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8104157,2024,1,5
2255,71415,2024-01-22,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,"I received an unemployment check because the Region communicated that my account was closed in error. The state of Texas issued a paper in which I deposit and request immediately available with a fee. Region waived the fee and made a deposit and removed of fees. The next morning the back office put on another 9 days hold even though the state of Texas was on phone informed them that issue a paper because of bank communication of closed account. Now that fund are not available my phone and electrical was disconnected. I have now is subject to to in fee because of a Region Bank error. They have not been deposit unemployment timely even when I have trace number to prove that deposit should be in my account. Since I have been displaced federal employees, I have been continue to get fee in error. They apply fee then release deposit/credit.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,REGIONS FINANCIAL CORPORATION,TX,XXXXX,,Consent provided,Web,2024-01-22,Closed with explanation,Yes,,8201719,2024,1,22
16502,144576,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,I have been affected by the There are discrepancies throughout all of the major credit profiles such as and Experian. My information has been released without my consent. These several inaccuracies within my credit profile need to be rectified and need to show the exact same through out each.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MO,631XX,Servicemember,Consent provided,Web,2024-01-04,Closed with explanation,Yes,,8101995,2024,1,4
683050,1793371,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"On i provided all the letters i received from all creditors and provided to all three credit bureaus and as of the accounts are not reporting accurate, and the others are not removed per the creditors request Mortgage is current and never paid late and the credit reporting agency is reporting several late payments.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60619,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8105961,2024,1,4
678245,1783423,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"In accordance with the Fair Credit Reporting Act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681.has violated my rights. Or a list of inquiries : 15 U.S.C 1681 section 602 A. States I have the right to privacy.15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33024,,Consent provided,Web,2024-01-04,Closed with explanation,Yes,,8104956,2024,1,4
683418,1794142,2024-01-04,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,"I respectfully ask for an update to my credit report, specifically the removal of the current public record. Attached are the required documents to substantiate this request. I appreciate your assistance.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60620,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8105723,2024,1,4
1635,58353,2024-01-17,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,I obtained a copy of my consumer report from this company that I NEVER gave them any authorization or approval to furnish this private information.i offer my testimony herein that I have not I have not authorized or given anyone access to my private and confidential records and certainly not the information youre reporting.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MicroBilt / PRBC (formerly CL Verify),TX,76065,,Consent provided,Web,2024-01-17,Closed with explanation,Yes,,8165739,2024,1,17
627181,1675143,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"LATE PAYMENTS BEING REPORTED DUE TO FRAUDLENT ACTIVITY not done by me. I had two credit cards with during my these cards were closed due to "" fraudlent activity '' I was only notified of this after applying for a home loan, I called numerous times since I became aware of the situation to try to rectify the situation over a period of months, every time I call the customer service line I get a different story. I was told my account was not closed to fraud but due to returned payments to which I never received any notices of any account closures or returned payments. I am and no help has been extended to me to fix the situation then I was told an investigation was done an there was nothing I can do and their decision is final. One representative told me that if I pay the accounts off in full the derogatory information ( late payments ) would be removed and the account would remained continue to be closed, this was not the case and was a complete lie after I paid in full. My credit report still shows 4 30 day late payments and 4 60 day late payments. I called them to do as they promised, I was told that the only way payments in full would be requested if I wanted to reopen credit cards and that information that the representative shared with me was wrong and I can file a complaint internally but the late payments would remain. my question is how can I be responsible for charges and late fees that was considered fraud but then they say my account status changed and my account was shut down due to returned payments, to which I wasn't notified of this either. This is destroying my credit. I have paid the closed balances off in full and they are insistent on reporting fraudlent late payments, it is not my fault that their customer service representative was not properly trained and gave out improper information. I am requesting that remove any accounts from my credit report, completely or remove the fraudulent late payments. It provides them no benefit to report this since I caused them no loss and paid the accounts in full.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77082,,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8109498,2024,1,5
330312,1042377,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Transunion and are reporting my student loans to be late. My student loans were NEVER late. My student loans has always been in deferment even when President Biden administration policy act was in place. Student loans can not be placed in Bankruptcy unless there is an hardship shown per President Biden administration policy. Make the necessary changes to correct these negative marks on my credit report regarding all my There is also car loans on my credit report that do not belong to me the following are Please fix these remove this incorrect information immediately!,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,44087,,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8103833,2024,1,5
1076,41600,2024-01-25,Debt collection,Auto debt,False statements or representation,Attempted to collect wrong amount,I purchased month to month insurance from and when I did not pay for insurance this company extended my credit with out my consent. Not knowing I was being charged it then went into collections by a company called CCS Collections,Company believes the complaint is the result of a misunderstanding,"CCS Financial Services, Inc.",PA,19138,,Consent provided,Web,2024-01-25,Closed with explanation,Yes,,8219418,2024,1,25
221931,732914,2024-01-03,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"I previously disputed the following accounts on multiple occasions and did not receive a response from Transunion or which within itself, is 1 % grounds for removal of the disputed information. ACCOUNTS [ Unverified account are already aware that my personal information was compromised and that this account was fraudulent. This account was not removed days after receipt of notice. Years ago they vowed to remove this account from my credit report when I first filed a FTC complaint. They continued reporting! If this account continues to report after days of receipt, I will begin to seek monetary relief for damages [ Unverified account : This account was removed a couple of times, but keeps coming back. They did not follow reinsertion laws per the FCRA, Section 611 ( a ) ( 5 ) ( B ) ) which I did NOT receive notice within 5 business days, -nor did I consent for the item to be furnished again. Plus has openly admitted, and likely on a recorded call, on MULTIPLE occasions that after their investigations had concluded, they found this account to be fraudulent and that it would be removed permanently! Why is it still reporting! If this account is not removed from my credit report within 45 days, I will begin to seek monetary relief for damages [ Unverified Third-Party ; Documentation Requested ; never provided account : Third-Party ; Documentation requested, never provided [ Unverified account ; Third-Party ; Documentation Requested, never provided [ Unverified account ; Third-Party ; Documentation Requested, never provided. ] I informed all three Credit reporting agencies, also referred to in this document as, THE CRAS, of the federal laws listed in this complaint, and politely demanded that the they follow the laws during the dispute process, -to which none of THE CRAS adhered to, -and continued to furnish the disputed information. Below are excerpts of FEDERAL LAW, which I have provided to THE CRAS, and trusted and expected them to follow, and to do what is right. [ # 1 ]. The CRA 's did not follow 15 U.S. Code 1681i, being that they did not respond to my dispute within the allotted time set by the FCRA. ( # 2 ) I gave notice, by informing The CRA 's that there is information being reported that I believe to be inaccurate and or fraudulent. Per 15 U.S. Code 1681s2 section ( a ) ( 1 ) ( A ) it states that a person shall not furnish ANY information relating to a consumer to ANY consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate. The CRAS continued reporting the disputed information even upon being notified that information was incorrect and or inaccurate, and even more serious, fraudulent. [ # 3 ] I also informed the CRAS of 15 U.S. Code 1681c2 ( a ) which states that the consumer reporting agency SHALL block the reporting of ANY information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, NOT LATER THAN 4 BUSINESS DAYS. I provided proof and appropriate identity documents, identification of such information, a statement by me informing The CRAS that "" the information is not relating to any transactions made by me, the consumer ''. I even filed a case by reporting the fraudulent accounts with FTC.gov, and uploaded documentation, yet, all of these accounts are still somehow reporting by The CRAS. [ # 3 ] Furthermore, due to being a long term victim of identity theft, I informed the CRAS that I was concerned with my privacy being violated, and specifically referred them to 15 U.S. Code 6801, which states that I am supposed to be 1 % "" protected from having my nonpublic private information being shared. This federal law specifically states that ( 1 ) it is the policy of the CONGRESS that EACH FINANCIAL INSTITUTION have an affirmative and continuing obligation to respect the privacy of its customers, ( 2 ) to protect the security and confidentiality of those customers nonpublic personal information, ( 3 ) to protect the security and confidentiality of customer records and information, ( 4 ) to protect against any anticipated threats or hazards to the security or integrity of such records ; and lastly, ( 5 ) to protect against unauthorized access to or use of such records or information which could result in substantial harm or inconvenience to any customer. Also according to this law, I also informed The CRAS that I was never provided with the opportunity or choice to opt out. By continuing to report this information, it keeps me at risk. ( # 4 ) In addition to # 3, I informed The CRAS that they are in violation of U.S. Code 6802 which speaks on obligations with respect to disclosures of personal information. This law specifically states the following : that A FINANCIAL INSTITUTION may NOT, directly or through any affiliate, disclose to a nonaffiliated party [ ie : Transunion ] ANY NONPUBLIC PERSONAL INFORMATION, unless such financial institution provides or has "" provided to the consumer a notice that complies with section 6803 of this title [ I NEVER RECEIVED THIS ]. This LAW goes on to state that, In general, A FINANCIAL INSTITUTION may NOT disclose nonpublic personal information to a nonaffiliated third party [ ie : Transunion unless A ) such FINANCIAL INSTITUTION, CLEARLY AND CONSPICUOUSLY DISCLOSES TO THE CONSUMER, in writing or in electronic form, that such information may be disclosed to such third party ; [ I DID NOT RECEIVE ANY CLEAR AND CONSPICUOUS DISCLOSURES OF ANY KIND. ] ( B ) the consumer is given the opportunity, before the time that such information is initially disclosed, to direct that such information not be disclosed to such third party [ WAS NEVER GIVEN SUCH OPPORTUNITY OR NOTICE ] ; and ( C ) the consumer is given an explanation of how the consumer can exercise that nondisclosure option, [ I WAS NOT GIVENY ANY EXPLANATIONS OF ANY KIND, NOR OPTIONS TO EXERCISE ; ( D ) with the consent or at the direction of the consumer ; [ I DID NOT PROVIDE CONSENT OF ANY KIND ]. You can find more about this here : 15 U.S. Code 6801, in both sections A and B, which are also being violated. ( # 5 ) I then went on to explain to The CRAS that TRANSACTIONAL INFORMATION, OR EXPERIENCES, between the CONSUMER AND THE FURNISHER are to EXCLUDED FROM CONSUMER REPORTING per federal law -15 U.S. Code ( 2 ) Even by THE CRAS being made aware of this, they still REFUSE to remove any of the disputed information, and have not provided me with ANY physical documentation ( # 6 ) It is really unsetting that I am having this experience with the CRA 's because according to 15 U.S. Code 1681 further findings by CONGRESS, pertaining to the ACCURACY AND FAIRNESS of credit reporting states that, ( 1 ) The banking system is dependent upon fair and accurate credit reporting. INACCURATE CREDIT REPORTS DIRECTLY IMPAIR THE EFFICIENCY OF THE BANKING SYSTEM, AND UNFAIR CREDIT REPORTING METHODS UNDERMINE THE PUBLIC CONFIDENCE WHICH IS ESSENTIAL TO THE CONTINUED FUNCTIONING OF THE BANKING SYSTEM. ( 2 ) An ELABORATE MECHANISM has been developed for investigating and evaluating the credit worthiness, credit standing, credit capacity, CHARACTER, AND GENERAL REPUTATION OF CONSUMERS. ( 3 ) CONSUMER REPORTING AGENCIES have ASSUMED A VITAL ROLE in assembling and evaluating consumer credit and other information on consumers. ( 4 ) There is a need to insure that consumer reporting agencies exercise their GRAVE RESPONSIBILITIES with fairness, impartiality, and a respect for the consumers right to privacy. It is the purpose of this subchapter to REQUIRE that consumer reporting agencies adopt reasonable procedures for meeting the needs of commerce for consumer credit, personnel, insurance, and other information in a manner which is FAIR AND EQUITABLE TO THE CONSUMER, WITH REGARD to the confidentiality, accuracy, relevancy, and proper utilization of such information in accordance with the requirements of this subchapter. For further context, please see 15 U.S. Code 1681a - Definitions ; rules of construction to define and make clear distinction of various words being used in the laws. Lastly, although both companies and have agreed to remove its respective account from my credit report, neither have provided any methods of verifications which I have previously requested on many occasions. Per my right under 15 U.S.C. 1681g, I requested full validation from and which I have not received. I asked them to disclose all of the documents that they have recorded and or retained at the time of my dispute, and nothing was sent to me, therefore should be DELETED IMMEDIATELY under Section 611 ( a ) ( 5 ) ( A ) ( i ) These companies are also not METRO2 compliant! Lastly, I do not appreciate how my character, reputation, and credit worthiness, are being damaged by the day, as long as these inaccurate, unverified, and fraudulent items continue reporting on my credit report. At this point, depending on the results of this dispute, I am willing to seek relief from the year when I first disputed, until now, and I am STILL unable to obtain financing due to these matters.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,300XX,Servicemember,Consent provided,Web,2024-01-03,Closed with non-monetary relief,Yes,,8089747,2024,1,3
233787,798374,2024-01-10,Checking or savings account,Checking account,Managing an account,Banking errors,"Please refer my CFPB Complaint Within 5 months - I faced the exact same issue in the same Wells Fargo branch Texas United States I took appointment last week for notarizing one document ( only one page signature for a 4 page document ) It was treasury department document ) to change my Bank account from ally bank to and are both online banks with no branches so for this kind of services - I generally go to Wells Fargo branch. Got appointment confirmation email for at I reached on time and this time after waiting for around minutes, same gentleman with beard reached me. After looking at my document, he made the same excuse that he needs to check with his manager. It was the same person I met on also. Manager was also the same Now they started making the excuses : excuse - as you are changing the bank account to -we can't notarize. If you were changing it to Wells Fargo account we could have done that. I was shocked to hear this as this manager was exactly doing the same thing to promote Wells Fargo and compelling a customer to change it to Wells Fargo account. I simply told him please show me your terms and conditions or rule book and give me this in writing. He made another excuse that printer is not working. I pointed to the white printer which somebody just took the printout while I was waiting in the lobby. excuse - This document required medallion kind of seal and notary that we don't do that. Please get it from public notary like I told that treasury department has clearly specified notary from bank and not public notary. He said how he can verify my account? I offered him my phone with Now played another dirty trick that he can't do this. I said- please provide me your rule book as within last 5 months - I am facing this adverse action. He was not willing to do that. Now i asked where it the supervisor. He said nobody above him in this branch. He can write a complaint to team. I said I want to write that complaint right being in the branch. He said he can't let me do that. I said let me write on plain paper and send it to that team-for which he refused. In the meanwhile started creating online complaint on his computer which as blocking screen so that nobody can see it. I said why can't you print it using browser print functionality- he said I can not let Wells Fargo proprietary data to go outside of bank. I said let me read on the print out and then you can shred it- he refused that also. While i was there, his subordinate was trying to come up with more excuses why they can not do notary. I called Wells Fargo from that branch and spent minutes to get that complaint done. This is discrimination - the moment this sees an like me- starts retaliating I asked the lady on the phone to share with me all the terms and conditions document regarding Wells Fargo in terms of what they can notarize and what they can't? Also why this branch didn't called me to send my paperwork by email before the appointment? They could have saved my trip plus hours on While i was talking to Wells Fargo customer service- this disrespectful and unapologetic asked me to leave the branch by saying - goodbye even when I was sitting quietly and talking to them over the phone Here are the contents of CFPB Complaint Dated - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - I have wells Fargo Business checking account, personal checking account and Wells Fargo credit cards. I wanted to get one document notarized so took an appointment ( on ) for my local branch United States Appointment was on at Triple digit temperature ) Reached on time, but nobody available till Finally I went with for notary. Upon checking my documents, he told me that it can not be notarized. I asked why? He said that it will be conflict of interest for Wells fargo to notarize the documents as it was a Complaint to He said as this could be sent to court that's why he is not notarizing. He called in his manager He told me the same reason - I provided my reasoning that notary just says that I am the one who is signing in front of authorized notary and nothing more than that. Moreover by looking all over the documents and copying them ( you are violating the very confidentiality of the documents ) I told him that during and - I got one charge being notarized in the same wells Fargo branch and currently it's a lawsuit in court said that i was not the at that time. Another issue - this wells fargo keep on changing so rules keep on changing stated that I can go to and get it notarized. I told him that charges {6 for the very first page- it's just page but both didn't budge. I said that i want to make a complaint. From till the complaint and didn't showed mem what he has written ( that means - his own version which may be totally biased ) Last name means somebody from folks just hate so that might also have played in here tried to stereo type me further that if there are some lease documents then they could have notarized. I simply told him that what if the tenant and landlord has any fights and then go to court. In that case that notarized document is also some court document. Moreover, just because I am an origin person doesn't mean that I am immigrant and always going to live in apartment - that's a totally bad analogy with bad taste in my mouth. I was very clear that both and are making up the rules on the fly and definitely not convincing minutes for complaint filing and not sharing with me the contents of the complaint is definitely not transparent. Moreover, this is a second time- this particular Wells Fargo denied notarizing the document - I end up going to and pay them {6 this time. When one makes the online appointment- they clearly select the reason - notary - why this Wells Fargo scheduler doesn't tell them what they can notarize or not? this way - customers don't have to waste time and money. Both and are so mean and insensitive that they didn't even offered me water in this scorching heat - triple digit temperature where I end up spending minutes of my time. Bad experience- Wells Fargo is a serial offender and this branch in particular. Wells Fargo written complaint ends in",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,XXXXX,,Consent provided,Web,2024-01-10,Closed with monetary relief,Yes,,8132899,2024,1,10
